기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2037/12/19,102.64,91.57,91.28,82.66,91.17,91.87,111.76,116.28,143.33,172.12,162.3,126.87,141.85,142,143.33,145.85,143.57,143.33,141.73,141.2,135.81,120.02,107.98,110.54,172.12,82.66,126.69
2037/12/18,92.1,91.34,91.12,82.13,82.13,92.08,111.76,116.6,143.61,230.82,151.02,144.41,0,141.46,141.46,141.47,141.47,141.19,141.2,136.48,141.19,120.77,114.78,115.08,230.82,0,123.65
2037/12/17,219.32,143.74,82.02,82.02,82.02,91.56,143.91,141.2,145.49,160.59,160.59,145.84,140.86,142.35,143.81,145.83,142.3,140.86,142.22,137.95,141.19,119.76,101.93,126.8,219.32,82.02,135.54
2037/12/16,111.06,99.87,80.38,80.34,80.38,111.41,100.92,134.1,146.9,170.67,154.1,154.07,154.02,154.07,161.49,146.9,143.41,156.27,156.27,156.27,156.27,135.78,155.36,116.31,170.67,80.34,137.1
2037/12/15,98.4,83.15,83.15,82.32,82.32,83.15,92.18,96.58,111.86,102.33,133.48,133.67,133.67,133.67,133.67,102.56,102.85,110.46,110.63,110.98,102.86,111.16,102.38,102.39,133.67,82.32,106.45
2037/12/14,103.49,92.66,92.12,91.67,91.7,92.25,96.32,101.03,103.13,103.09,103.11,103.24,99.57,102.76,102.78,103.37,103.87,103.61,103.93,103.38,103.38,102.84,102.95,101.51,103.93,91.67,100.7
2037/12/13,108.02,98.56,91.58,91.13,91.66,111.58,101.9,141.19,154.1,166.91,154.01,143.07,136.22,137.27,137.22,141.99,143.08,142.66,142.66,141.2,117.27,123.01,141.19,111.93,166.91,91.13,129.62
2037/12/12,102.61,91.54,91.61,91.18,91.52,91.71,112.75,120.77,158.57,158.57,145.89,156.04,137.8,137.72,137.72,137.72,156.04,145.72,142.66,145.41,145.41,145.41,122.66,116.35,158.57,91.18,130.41
2037/12/11,111.93,83.43,82.1,82.1,82.1,91.46,106.25,121.62,153.64,156.04,159.67,153.64,137.97,143.06,143.07,158.57,153.64,143.4,143.41,137,136.09,112.28,120.02,118.32,159.67,82.1,128.72
2037/12/10,106.1,82.77,80.77,80.77,80.77,91.53,93.38,146.28,147.99,147.99,160.16,147.13,138.02,146.33,147.13,158.57,148.06,159.21,157.97,158.01,157.76,157.76,143.97,120.16,160.16,80.77,134.29
2037/12/09,86.15,80.35,80.35,80.35,80.35,80.35,85.17,131.54,160.21,171.9,161.16,147.95,136.67,136.67,144.44,136.67,136.67,163.04,163.23,124.07,122.5,163.2,106.25,101.66,171.9,80.35,127.17
2037/12/08,92.06,83.18,83.18,80.94,82.17,83.18,92.11,92.15,92.15,80.59,89.43,80.24,6.19,76.67,80.24,80.59,91.86,103.84,103.84,103.84,103.85,103.85,103.49,93.61,103.85,6.19,87.43
2037/12/07,92.89,88.87,86.59,84.71,84.71,87.13,92.29,93.19,93.19,93.19,102.61,119.14,108.36,108.45,102.3,102.18,103.18,103.18,102.62,102.62,102.27,93.19,93.19,93.19,119.14,84.71,97.64
2037/12/06,97.79,81.98,80.52,80.52,80.52,86.67,100.92,116.28,143.43,160.72,160.62,139.91,122.78,122.78,122.78,141.19,143.06,133.12,118.54,121.84,116.76,112.75,101.62,110.17,160.72,80.52,117.97
2037/12/05,92.2,91.12,86.17,86.17,86.17,91.56,101,120.77,141.63,143.43,151.16,143.4,137.36,137.21,137.29,143.07,214.42,162.51,152.04,122.66,133.51,120.77,120.02,104.26,214.42,86.17,127.62
2037/12/04,112.45,80.66,80.52,80.52,80.52,82.56,115.9,116.1,143.4,144.2,143.4,142.44,144.53,137.27,138.26,143.07,217.44,143.04,142.66,142.32,142.95,121.84,116.06,107.27,217.44,80.52,128.07
2037/12/03,112.75,81.13,80.38,80.03,80.22,81.13,89.86,117.15,152.53,143.03,156.04,139.6,118.13,123.75,123.75,143,155.07,123.96,188.56,118.15,116.26,112.28,102.68,98.77,188.56,80.03,120.53
2037/12/02,133.4,80.17,80.17,80.17,80.17,80.7,131.45,101.85,143.01,166.29,155.33,144.04,137.97,143.06,158.57,158.18,156.04,158.23,157.11,183.46,183.46,112.36,221.24,101.83,221.24,80.17,137.91
2037/12/01,97.81,91.76,84.46,84.46,84.46,88.94,107.71,133.38,107.71,104,104.06,104.2,103.78,92.89,93.02,104.15,104.51,148.07,133.01,147.71,147.33,144.36,144.36,144.36,148.07,84.46,114.07
2037/11/30,106.78,96.65,87.96,87.46,87.45,96.65,103.28,109.78,109.78,111.63,112,108.43,107.87,107.38,104.62,107.32,107.87,139.1,127.61,141.18,107.54,106.78,137.27,137.27,141.18,87.45,111.38
2037/11/29,107.7,101.87,87.57,87.18,87.61,101.98,106.29,111.33,137.97,152.33,151.87,154.15,138.78,155.82,138.59,138.78,138.72,137.92,137.92,137.92,114.22,106.56,107.2,104.46,155.82,87.18,124.58
2037/11/28,111.21,102.96,91.06,87.57,101.43,102.75,105.8,117.04,137.98,137.97,156.16,144.56,137.98,137.98,137.97,137.92,137.1,136.92,135.58,137.81,130.65,141.3,117.24,117.24,156.16,87.57,126.67
2037/11/27,107.59,102,87.49,87.08,87.48,102,105.8,127.27,137.94,137.92,137.98,136.37,136.19,136.37,136.37,136.37,136.37,138.91,138.91,138.91,138.91,138.91,106.62,106.62,138.91,87.08,124.6
2037/11/26,114.88,91.94,87.57,87.47,91.94,102.32,104.01,106.76,140.74,154.83,158.56,137.88,131.51,131.42,135.27,137.94,137.97,135.27,135.26,131.14,117.78,114.22,104.85,113.03,158.56,87.47,122.54
2037/11/25,91.51,79.45,79.45,79.45,79.45,79.45,90.49,107.53,117.26,117.26,137.61,135.26,116.8,116.8,116.8,116.8,137.95,116.8,117.26,112.14,106.76,106.69,106.5,114.94,137.95,79.45,109.04
2037/11/24,106.64,87.95,85.2,85.2,85.2,87.95,101.19,106.64,107.03,91.88,112.08,105.82,0,78.4,78.4,87.55,91.52,126.67,125.74,126.85,126.85,108.49,101.37,101.2,126.85,0,97.37
2037/11/23,103.68,101.97,87.86,87.79,87.87,93.03,117.14,117.14,117.24,113.57,91.3,110.2,0,78.38,90.67,88.5,112.24,126.02,116.82,112.24,112.24,101.33,101.33,101.33,126.02,0,99.68
2037/11/22,112.14,87.79,87.13,87.05,87.24,87.79,107.05,117.78,130.73,117.62,117.52,117.47,0,116.87,117.26,117.26,117.37,117.47,117.43,113.31,107.05,106.47,112.14,116.73,130.73,0,106.04
2037/11/21,106.74,87.43,0,0,87.06,0,107.37,107.29,137.88,150.52,137.89,117.01,117.01,116.96,137.63,127.32,137.63,137.87,127.44,117.26,107.87,107.87,107.87,107.87,150.52,0,106.83
2037/11/20,106.74,83.22,82.85,82.96,82.99,106.21,117.98,117.98,141.65,159.13,141.65,131.98,131.79,131.55,137.63,131.51,137.64,135.7,135.7,108.72,106.69,104.48,103.5,103.5,159.13,82.85,119.12
2037/11/19,114.94,90.49,90.49,79.76,79.76,110.99,110.99,118.08,137.61,137.88,147.19,131.65,131.65,131.65,131.65,131.65,131.66,137.62,127.68,117.67,110.99,104.46,104.46,110.99,147.19,79.76,118.68
2037/11/18,93.45,78.12,78.12,78.12,78.12,78.12,104.24,115.85,117.78,117.78,0,0,0,0,117.47,117.47,117.47,117.47,117.78,117.78,107.4,107.01,107.01,105.25,117.78,0,88.37
2037/11/17,105.01,87.01,82.89,81.53,0,0,123.8,0,88.1,88.02,88.61,0,0,0,0,125.06,125.06,125.19,125.19,125.14,125.14,125.04,125.04,105.01,125.19,0,81.28
2037/11/16,90.81,87.47,82.08,80.6,80.6,84.63,94.01,94.86,94.05,94.38,94.62,93.99,90.81,90.92,78.38,80.6,88.62,89.48,90.81,90.81,126.19,89.48,89.48,89.48,126.19,78.38,90.66
2037/11/15,91.51,87.07,87.1,87.15,87.18,87.76,112.48,114.22,116.84,116.58,116.58,116.51,108.92,116.38,147.26,131.48,116.38,116.51,116.78,126.06,107.42,106.79,104.58,113,147.26,87.07,110.9
2037/11/14,103.76,87.57,83.4,85.3,87.57,102.76,116.73,116.73,147.26,147.26,147.26,132.31,132.31,132.31,147.26,147.26,147.26,139.97,132.32,116.98,126.24,125.5,106.52,105.55,147.26,83.4,123.03
2037/11/13,114.22,102.07,102.01,101.9,102.07,103.34,114.22,131.31,147.26,131.32,131.38,131.23,116.38,116.38,116.31,116.38,147.26,123.4,131.47,131.43,117.04,117.04,107,106.74,147.26,101.9,119.95
2037/11/12,107.15,89.73,89.53,89.53,89.62,92.21,117.44,117.24,147.26,147.26,131.37,115.63,105.73,110.38,112.83,115.58,116.58,123.4,123.33,117.04,117.17,107.22,104.38,114.22,147.26,89.53,113.18
2037/11/11,92.37,78.05,78.05,78.05,78.05,90.5,87.98,106.8,116.84,131.57,143.05,131.54,141.81,131.51,131.54,137.94,131.54,131.54,131.57,116.84,113.76,113,106.61,106.61,143.05,78.05,114.74
2037/11/10,98.1,78.4,78.4,78.4,78.4,78.4,80.24,90.77,90.68,92.45,92.24,114.99,92,114.27,92,114.6,114.99,114.99,214.27,114.99,114.99,114.94,92.24,92.45,214.27,78.4,103.24
2037/11/09,113.22,88.17,87.58,80.28,80.28,87.55,88.34,93.07,93.07,105.86,105.84,105.61,105.82,105.81,104.82,105.64,105.25,105.73,105.85,105.86,104.28,92.08,92.29,92.29,113.22,80.28,98.71
2037/11/08,110.09,89.57,89.57,89.57,89.57,102.17,111.71,114.22,117.51,131.58,137.88,132.64,132.64,137.9,148.44,149.56,137.92,132.65,117.17,117.17,116.73,107.15,117.44,106.94,149.56,89.57,119.35
2037/11/07,103.65,89.39,89.39,89.48,89.48,102.16,114.48,107.74,117.84,136.21,126.43,136.87,116.13,116.84,116.84,116.84,151.02,153.68,117.44,126.95,114.94,107.66,111.71,104.64,153.68,89.39,116.15
2037/11/06,103.68,87.6,87.6,87.42,87.56,92.08,115.73,116.58,131.58,0,0,-39.64,-79.28,-79.28,0,0,117.26,127.56,117.52,117.52,117.53,113.81,113.61,109.09,131.58,-79.28,72.31
2037/11/05,103.72,92.74,87.46,87.49,0,0,104.21,106.62,117.37,136.94,136.94,0,0,0,0,136.87,136.13,131.98,132.17,127.56,127.62,107.46,105.14,104.95,136.94,0,90.29
2037/11/04,103.98,87.53,87.42,86.95,87.27,102.49,104.14,115.78,131.3,149.56,137.97,134.96,116.58,116.58,131.3,131.4,131.35,127.26,127.32,116.78,116.73,106.73,106.56,104.12,149.56,86.95,116.5
2037/11/03,106.63,92.24,87.58,87.11,87.42,92.45,92.45,92.7,104.63,104.63,104.63,104,0,87.3,104.57,104.57,108.6,109.96,109.97,109.97,109.58,108.46,108.85,105.6,109.97,0,97.53
2037/11/02,104.31,103.05,102.64,87.43,102.83,103.18,103.81,104.3,107.25,107.89,116.19,148.12,107.6,107.6,107.52,107.68,107.3,107.95,108.08,108.14,108.2,106.76,106.85,104.76,148.12,87.43,107.92
2037/11/01,112.58,103.44,102.83,91.75,101.85,103.45,106.6,131.3,151.13,150.53,145.71,135.22,116.31,113.82,114.22,113,131.17,131.26,131.26,107.08,103.42,103.42,103.42,103.42,151.13,91.75,118.06
2037/10/31,100.68,92.24,91.76,91.77,92.21,99.85,100.65,105.16,139.28,139.33,140.45,133.11,104.87,128.34,147.98,152.55,139.33,135.29,135.3,135.3,130.87,132.91,105.14,105.14,152.55,91.76,121.81
2037/10/30,101.81,76.9,77.3,78.08,99.38,87.14,100.42,109.13,139.31,117.02,116.97,109.93,100.4,100.58,110.68,109.06,116.86,117.02,117.12,116.32,117.33,100.89,116.03,111.96,139.31,76.9,107.17
2037/10/29,152.1,105,152.73,91,92,105,152.72,106,152.51,151.81,151.67,158.52,155.47,155.84,156.62,155.84,155.72,156.88,138,133,133,106,99,99,158.52,91,135.3
2037/10/28,75.66,75.64,152.03,75.64,76.87,75.64,151.7,132.89,139.32,153.31,152.49,152.07,137.6,152.01,151.53,139.32,152.08,157.77,157.54,156.83,156.65,156.65,116.6,153.59,157.77,75.64,135.87
2037/10/27,85.46,76.89,76.21,76.21,76.21,76.21,77.04,94.15,94.15,153.61,103.58,117.34,133.35,103.31,101.01,101.07,153.46,155.05,155.81,154.93,154.13,94.15,155.69,153.56,155.81,76.21,115.53
2037/10/26,93.31,92.62,154.96,77.5,77.5,77.69,154.48,155.12,155.34,155.46,111.88,133.33,104.17,102.59,101.05,154.87,154.19,102.86,106.82,159.43,158.92,158.51,157.75,153.52,159.43,77.5,128.11
2037/10/25,152.17,92.23,92.23,92.1,92.23,92.43,101.06,101.28,138.32,139.24,216.99,133.16,0,209.55,213.08,206.86,152.32,155.17,155.03,154.78,155.92,155.03,101.02,155.92,216.99,0,138.6
2037/10/24,92.57,204.7,0,0,0,155.08,102.6,102.82,215.18,206.99,-48,-78.74,-78.74,-78.74,132.92,0,0,155.86,156.03,155.05,155.95,121.01,155.78,100.62,215.18,-78.74,86.36
2037/10/23,219.19,209.55,0,0,0,0,205.18,205.91,200.4,0,0,-48,0,0,0,206.85,134.74,139.6,153.64,134.75,133.2,106.56,214.43,155.28,219.19,-48,101.64
2037/10/22,154.85,151.67,92.4,151.03,150.12,105.75,152.04,106.94,156.61,155.91,159.1,156.76,151.37,151.16,151.33,155.52,155.95,157.25,156.68,156.68,152.54,106.92,150.97,121.78,159.1,92.4,145.36
2037/10/21,94.05,85.16,83.75,85.16,85.16,89.61,105.58,105.7,139.32,157.11,157.18,156.18,156.18,156.18,156.18,156.18,157.18,156.53,157.18,158.38,157.18,105.63,157.56,155.51,158.38,83.75,135.53
